Team,Defense Wins,Defense Losses,Defense Win Percentage (%),Attack Wins,Attack Losses,Attacking Win Percentage (%),Region,,,,Game ,Vlr ,Checked & Inputted?,,,Defense Wins,Defense Losses,Attack Wins,Attack Losses
Natus Vincere,75,67,52.82,61,78,43.88,EMEA,,,,KRU 100T,https://www.vlr.gg/645494/kr-esports-vs-100-thieves-vct-2026-americas-stage-1-w4,TRUE,TRUE,LEV,37,52,48,34
PCIFIC Esports,50,85,37.04,60,66,47.62,EMEA,,,,KRU EG,https://www.vlr.gg/645498/kr-esports-vs-evil-geniuses-vct-2026-americas-stage-1-w5,TRUE,TRUE,MIBR,26,27,30,23
Team Heretics,187,167,52.82,186,142,56.71,EMEA,,,,LOUD LEV,https://www.vlr.gg/645502/loud-vs-leviat-n-vct-2026-americas-stage-1-w5,TRUE,TRUE,KRU ,27,40,33,26
Team Liquid,95,81,53.98,91,95,48.92,EMEA,,,,MIBR LEV,https://www.vlr.gg/660371/mibr-vs-leviat-n-vct-2026-americas-stage-1-ubsf,TRUE,TRUE,100T,15,13,21,10
Team Vitality,128,149,46.21,157,100,61.09,EMEA,,,,FURIA NRG,https://www.vlr.gg/660375/furia-vs-nrg-vct-2026-americas-stage-1-lr1,TRUE,TRUE,EG,11,20,19,17
DetonatioN FocusMe,81,98,45.25,96,88,52.17,Pacific ,,,,,,,TRUE,LOUD,8,21,22,14
DRX,90,96,48.39,123,112,52.34,Pacific ,,,,,,,TRUE,FURIA,6,11,6,15
FULL SENSE,92,96,48.94,114,70,61.96,Pacific ,,,,,,,TRUE,NRG,15,6,11,6
Gen.G Esports,75,72,51.02,52,83,38.52,Pacific ,,,,,,,,,,,,
Global Esports,107,119,47.35,109,106,50.7,Pacific ,,,,,,,,,,,,
Nongshim RedForce,81,101,44.51,90,89,50.28,Pacific ,,,,,,,,,,,,
Paper Rex,173,125,58.05,152,114,57.14,Pacific ,,,,,,,,,,,,
Rex Regum Qeon,116,120,49.15,124,109,53.22,Pacific ,,,,,,,,,,,,
T1,89,76,53.94,118,75,61.14,Pacific ,,,,,,,,,,,,
Team Secret,58,77,42.96,61,73,45.52,Pacific ,,,,,,,,,,,,
VARREL,49,89,35.51,72,65,52.55,Pacific ,,,,,,,,,,,,
ZETA DIVISION,51,86,37.23,66,66,50,Pacific ,,,,,,,,,,,,
100 Thieves,88,95,48.09,124,87,58.77,Americas,,,,,,,,,,,,
Cloud9,48,74,39.34,58,73,44.27,Americas,,,,,,,,,,,,
ENVY,56,66,45.9,57,52,52.29,Americas,,,,,,,,,,,,
Evil Geniuses,53,87,37.86,53,66,44.54,Americas,,,,,,,,,,,,
FURIA,80,88,47.62,89,103,46.35,Americas,,,,,,,,,,,,
G2 Esports,101,80,55.8,87,55,61.27,Americas,,,,,,,,,,,,
KRÃœ Esports,87,85,50.58,81,82,49.69,Americas,,,,,,,,,,,,
LeviatÃ¡n,93,87,51.67,111,73,60.33,Americas,,,,,,,,,,,,
LOUD,56,91,38.1,85,79,51.83,Americas,,,,,,,,,,,,
MIBR,75,88,46.01,82,78,51.25,Americas,,,,,,,,,,,,
NRG Esports,77,68,53.1,84,62,57.53,Americas,,,,,,,,,,,,
Sentinels,56,57,49.56,55,60,47.83,Americas,,,,,,,,,,,,
